Index,class
40977,1
24157,1
56238,1
55411,1
53175,1
30996,1
41265,1
45220,1
16775,1
53168,0
54117,1
35937,1
57354,1
21311,1
46646,1
4660,1
2903,0
28876,0
3331,1
1928,1
24976,1
42702,1
57443,1
51201,0
30745,1
790,0
37199,1
28003,1
2140,1
27041,1
1260,1
27467,1
22268,1
25828,1
51202,1
53787,1
27098,1
28185,1
50280,1
7028,1
41482,1
35166,1
48246,1
7678,0
11729,0
51658,1
11679,1
1693,1
24553,1
14098,1
5043,0
53015,1
15455,1
30674,1
17736,0
8113,0
13537,0
2603,1
13377,1
26234,0
17785,1
1270,0
36488,1
41603,1
10218,0
7692,0
12228,1
33718,1
9288,0
5270,1
38418,1
37349,1
22848,1
49949,1
39015,1
3965,0
27605,1
36673,1
55781,1
2634,0
28658,1
46444,1
7950,1
17304,0
15981,0
10707,0
26528,1
39851,1
49159,1
44058,1
25541,1
35456,1
4295,1
27811,1
7158,1
21534,0
3683,1
18530,1
16575,1
20316,0
52830,1
26752,0
40132,1
620,1
5861,0
16746,1
6867,0
28324,1
32244,1
21508,1
30136,0
36934,1
32661,0
35332,1
38708,1
43718,1
23238,1
54044,1
38327,1
34209,0
29494,1
56009,1
8091,1
18003,1
29096,0
32675,1
23075,0
55547,1
4174,0
28310,1
7226,0
19613,1
55548,1
39235,1
42863,1
2533,0
1457,1
48338,0
31136,1
36071,0
24886,0
17943,1
48898,1
35156,1
2689,1
14314,1
41616,1
17096,1
33731,1
27226,1
16194,0
11295,1
9774,1
12882,0
36502,1
7469,1
31074,1
23729,0
35016,1
51475,1
48563,1
56327,1
3205,0
31455,1
34475,1
17286,1
35914,1
43597,1
43812,1
3559,1
41392,0
52702,1
5135,1
51730,1
5764,0
10740,1
25138,1
27257,0
50829,0
41056,1
56728,1
32267,1
45789,1
55317,1
9869,1
44378,1
21350,1
54576,1
24238,1
55082,1
16778,0
17743,1
35777,1
37840,1
46421,1
53303,1
3149,1
45045,1
44453,0
43119,1
55539,1
41272,1
8491,1
31858,0
1851,1
28435,1
8355,1
53556,1
4692,1
56881,1
9694,0
22991,0
11559,0
42443,1
30547,1
44946,1
7035,1
3357,0
31041,1
53987,1
30767,1
46502,1
51424,0
38999,1
51561,1
2498,1
8444,1
52847,1
39388,1
32423,1
20797,0
19841,0
5724,1
27877,0
27668,1
35030,1
11500,1
37873,0
29935,0
8398,1
46730,1
12366,0
12240,1
46527,1
34929,1
6872,1
52592,1
46185,1
36417,0
21853,1
39980,1
13911,1
12605,1
25990,0
56015,1
54580,1
5466,1
45963,1
31107,1
30528,1
11279,1
44840,1
54937,1
31029,1
44787,1
41727,1
36843,1
45052,1
1391,1
54874,1
52652,1
57360,1
27243,1
50357,1
56874,1
52855,1
14340,0
18419,1
11421,1
9421,1
1800,1
41452,1
3152,1
40378,1
57921,0
35029,1
33334,1
1383,1
51655,1
7736,0
25511,1
32640,1
12235,0
17273,1
17233,1
57331,0
2188,1
49673,1
34481,1
57749,0
42150,1
51852,1
19615,1
23787,1
15201,1
8865,1
52714,1
34757,1
35772,0
896,1
23462,1
11854,0
17746,0
42892,1
44192,1
1212,0
49518,0
32797,1
49706,1
19431,1
57919,1
41052,1
48669,1
50827,1
3595,1
2523,1
54397,1
30646,0
25733,1
24695,1
32846,1
46803,1
41760,1
50451,1
52375,0
22005,1
54797,1
15438,1
34939,1
24777,0
42818,1
3064,0
42715,1
27092,0
52341,1
32514,1
42984,1
50973,1
38866,1
37252,1
26624,1
34086,1
53979,0
27561,1
25737,0
18224,1
58121,1
48463,1
24850,1
9030,0
5806,0
14817,0
42828,0
33902,0
22673,1
6953,1
38784,1
47736,1
36687,1
14865,1
54900,1
10753,0
52568,1
24429,0
42110,0
32958,0
49739,1
41526,1
41674,1
7576,1
14421,0
36496,1
48362,1
49538,1
34118,0
43723,1
27027,1
52132,0
18339,1
38856,0
42930,1
16227,1
6466,1
33192,1
28483,0
3970,0
57040,0
15008,0
3621,1
54410,1
1246,1
29065,0
40084,1
38408,1
10499,0
42454,1
26289,1
3283,1
20705,1
49038,0
24347,1
3633,1
31276,1
14378,1
164,1
36759,1
42992,1
24923,0
57412,0
6065,0
28469,1
9920,1
3219,1
13323,1
40592,0
56078,1
4527,0
52589,1
24971,1
30681,1
40450,0
11495,1
19331,0
12152,1
47222,0
24586,1
40226,1
16049,1
14349,1
30994,1
716,1
6473,1
184,1
33339,1
3011,1
57773,1
54171,1
30835,0
9302,1
19077,1
45037,1
23558,1
37302,1
56990,1
26766,1
1153,1
49550,1
7003,1
28961,0
53506,1
39006,1
32197,1
10075,0
33783,1
54788,1
17959,1
55660,1
42835,0
55381,0
28714,1
22439,1
7911,1
48479,0
38033,1
38810,1
46461,1
49266,1
39732,1
13554,1
18376,1
19088,0
15488,1
50742,1
52463,1
40692,0
46629,1
40827,1
11587,1
54248,0
36922,0
33414,1
52264,0
57539,1
41348,1
13281,1
6565,1
46008,1
13512,1
54103,1
27333,1
5424,1
54083,1
24169,0
36106,1
7738,1
18298,0
16765,0
19143,1
4685,1
57854,1
17169,0
45297,1
46073,1
6018,1
42397,1
53375,1
22657,0
5290,1
22935,1
20490,1
30565,1
4280,1
26304,1
44552,1
29693,0
46504,1
12765,1
32378,1
35077,1
41810,1
3290,1
57829,0
32062,1
29299,1
49365,1
25984,1
25045,1
13597,1
46686,1
36366,0
44991,1
29542,1
25720,1
29515,1
6389,1
55592,1
7680,1
57009,1
14864,0
13634,1
43975,1
44577,0
34619,1
53925,1
5486,1
13733,0
14810,0
53119,1
51030,1
48523,1
45592,1
8689,1
50099,1
332,1
27173,0
1533,1
35356,1
9667,0
46786,1
41290,1
27829,1
19932,0
13222,1
21941,0
4269,0
6919,0
8951,1
28022,1
267,1
41630,1
43267,1
7782,0
22499,1
32512,1
